country,year,pop,continent,lifeExp,gdpPercap
Afghanistan,2002,25268405.0,Asia,42.129,726.7340548
Afghanistan,2007,31889923.0,Asia,43.828,974.5803384
Albania,2002,3508512.0,Europe,75.651,4604.211737
Albania,2007,3600523.0,Europe,76.423,5937.029526
Algeria,2002,31287142.0,Africa,70.994,5288.040382
Algeria,2007,33333216.0,Africa,72.301,6223.367465
Angola,2002,10866106.0,Africa,41.003,2773.287312
Angola,2007,12420476.0,Africa,42.731,4797.231267
Argentina,2002,38331121.0,Americas,74.34,8797.640716
Argentina,2007,40301927.0,Americas,75.32,12779.37964
Australia,2002,19546792.0,Oceania,80.37,30687.75473
Australia,2007,20434176.0,Oceania,81.235,34435.36744
Austria,2002,8148312.0,Europe,78.98,32417.60769
Austria,2007,8199783.0,Europe,79.829,36126.4927
Bahrain,2002,656397.0,Asia,74.795,23403.55927
Bahrain,2007,708573.0,Asia,75.635,29796.04834
Bangladesh,2002,135656790.0,Asia,62.013,1136.39043
Bangladesh,2007,150448339.0,Asia,64.062,1391.253792
Belgium,2002,10311970.0,Europe,78.32,30485.88375
Belgium,2007,10392226.0,Europe,79.441,33692.60508
Benin,2002,7026113.0,Africa,54.406,1372.877931
Benin,2007,8078314.0,Africa,56.728,1441.284873
Bolivia,2002,8445134.0,Americas,63.883,3413.26269
Bolivia,2007,9119152.0,Americas,65.554,3822.137084
Bosnia and Herzegovina,2002,4165416.0,Europe,74.09,6018.975239
Bosnia and Herzegovina,2007,4552198.0,Europe,74.852,7446.298803
Botswana,2002,1630347.0,Africa,46.634,11003.60508
Botswana,2007,1639131.0,Africa,50.728,12569.85177
Brazil,2002,179914212.0,Americas,71.006,8131.212843
Brazil,2007,190010647.0,Americas,72.39,9065.800825
Bulgaria,2002,7661799.0,Europe,72.14,7696.777725
Bulgaria,2007,7322858.0,Europe,73.005,10680.79282
Burkina Faso,2002,12251209.0,Africa,50.65,1037.645221
Burkina Faso,2007,14326203.0,Africa,52.295,1217.032994
Burundi,2002,7021078.0,Africa,47.36,446.4035126
Burundi,2007,8390505.0,Africa,49.58,430.0706916
Cambodia,2002,12926707.0,Asia,56.752,896.2260153
Cambodia,2007,14131858.0,Asia,59.723,1713.778686
Cameroon,2002,15929988.0,Africa,49.856,1934.011449
Cameroon,2007,17696293.0,Africa,50.43,2042.09524
Canada,2002,31902268.0,Americas,79.77,33328.96507
Canada,2007,33390141.0,Americas,80.653,36319.23501
Central African Republic,2002,4048013.0,Africa,43.308,738.6906068
Central African Republic,2007,4369038.0,Africa,44.741,706.016537
Chad,2002,8835739.0,Africa,50.525,1156.18186
Chad,2007,10238807.0,Africa,50.651,1704.063724
Chile,2002,15497046.0,Americas,77.86,10778.78385
Chile,2007,16284741.0,Americas,78.553,13171.63885
China,2002,1280400000.0,Asia,72.028,3119.280896
China,2007,1318683096.0,Asia,72.961,4959.114854
Colombia,2002,41008227.0,Americas,71.682,5755.259962
Colombia,2007,44227550.0,Americas,72.889,7006.580419
Comoros,2002,614382.0,Africa,62.974,1075.811558
Comoros,2007,710960.0,Africa,65.152,986.1478792
